,year,artist,track,length_in_secs,genre,date.entered,date.peaked,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,time_to_peak
0,2000,Destiny's Child,Independent Women Part I,218,Rock,2000-09-23,2000-11-18,78.0,63.0,49.0,33.0,23.0,15.0,7.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,7.0,10.0,12.0,15.0,22.0,29.0,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56 days 00:00:00.000000000
1,2000,Santana,"Maria, Maria",258,Rock,2000-02-12,2000-04-08,15.0,8.0,6.0,5.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,15.0,19.0,21.0,26.0,36.0,48.0,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56 days 00:00:00.000000000
2,2000,Savage Garden,I Knew I Loved You,247,Rock,1999-10-23,2000-01-29,71.0,48.0,43.0,31.0,20.0,13.0,7.0,6.0,4.0,4.0,4.0,6.0,4.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,4.0,8.0,8.0,12.0,14.0,17.0,21.0,24.0,30.0,34.0,37.0,46.0,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98 days 00:00:00.000000000
3,2000,Madonna,Music,225,Rock,2000-08-12,2000-09-16,41.0,23.0,18.0,14.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,4.0,8.0,11.0,16.0,20.0,25.0,27.0,27.0,29.0,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35 days 00:00:00.000000000
4,2000,Christina Aguilera,Come On Over Baby (All I Want Is You),218,Rock,2000-08-05,2000-10-14,57.0,47.0,45.0,29.0,23.0,18.0,11.0,9.0,9.0,11.0,1.0,1.0,1.0,1.0,4.0,8.0,12.0,22.0,23.0,43.0,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70 days 00:00:00.000000000
5,2000,Janet,Doesn't Really Matter,257,Rock,2000-06-17,2000-08-26,59.0,52.0,43.0,30.0,29.0,22.0,15.0,10.0,10.0,5.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,7.0,8.0,20.0,25.0,37.0,40.0,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70 days 00:00:00.000000000
6,2000,Destiny's Child,Say My Name,271,Rock,1999-12-25,2000-03-18,83.0,83.0,44.0,38.0,16.0,13.0,16.0,16.0,16.0,18.0,17.0,14.0,1.0,1.0,1.0,2.0,2.0,3.0,5.0,5.0,5.0,7.0,10.0,13.0,14.0,18.0,23.0,23.0,34.0,37.0,43.0,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84 days 00:00:00.000000000
7,2000,Enrique Iglesias,Be With You,216,Latin,2000-04-01,2000-06-24,63.0,45.0,34.0,23.0,17.0,12.0,9.0,8.0,8.0,6.0,5.0,4.0,1.0,1.0,1.0,3.0,11.0,14.0,24.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84 days 00:00:00.000000000
8,2000,Sisqo,Incomplete,232,Rock,2000-06-24,2000-08-12,77.0,66.0,61.0,61.0,61.0,55.0,2.0,1.0,1.0,2.0,2.0,4.0,5.0,5.0,7.0,8.0,10.0,10.0,9.0,14.0,17.0,20.0,25.0,31.0,32.0,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49 days 00:00:00.000000000
9,2000,Lonestar,Amazed,265,Country,1999-06-05,2000-03-04,81.0,54.0,44.0,39.0,38.0,33.0,29.0,29.0,32.0,27.0,26.0,24.0,27.0,32.0,33.0,35.0,35.0,40.0,43.0,50.0,,,,,,,,,,45.0,45.0,45.0,23.0,17.0,14.0,17.0,18.0,18.0,3.0,1.0,1.0,2.0,3.0,4.0,4.0,5.0,6.0,8.0,9.0,10.0,12.0,15.0,20.0,22.0,22.0,25.0,26.0,31.0,32.0,37.0,42.0,42.0,45.0,50.0,,273 days 00:00:00.000000000
10,2000,N'Sync,It's Gonna Be Me,190,Rock,2000-05-06,2000-07-29,82.0,70.0,51.0,39.0,26.0,19.0,15.0,9.0,7.0,7.0,5.0,4.0,1.0,1.0,3.0,4.0,6.0,10.0,13.0,15.0,18.0,23.0,28.0,38.0,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84 days 00:00:00.000000000
11,2000,Christina Aguilera,What A Girl Wants,198,Rock,1999-11-27,2000-01-15,71.0,51.0,28.0,18.0,13.0,13.0,11.0,1.0,1.0,2.0,2.0,3.0,3.0,4.0,12.0,11.0,13.0,15.0,18.0,20.0,30.0,40.0,39.0,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49 days 00:00:00.000000000
12,2000,Vertical Horizon,Everything You Want,241,Rock,2000-01-22,2000-07-15,70.0,61.0,53.0,46.0,40.0,33.0,31.0,26.0,22.0,19.0,17.0,15.0,13.0,9.0,9.0,8.0,8.0,6.0,7.0,7.0,8.0,3.0,3.0,6.0,6.0,1.0,2.0,3.0,4.0,7.0,9.0,10.0,18.0,20.0,27.0,29.0,36.0,40.0,50.0,47.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,175 days 00:00:00.000000000
13,2000,Creed,With Arms Wide Open,232,Rock,2000-05-13,2000-11-11,84.0,78.0,76.0,74.0,70.0,68.0,74.0,75.0,69.0,74.0,70.0,79.0,84.0,86.0,76.0,62.0,45.0,29.0,19.0,11.0,10.0,7.0,5.0,3.0,3.0,3.0,1.0,2.0,2.0,3.0,3.0,3.0,4.0,5.0,5.0,5.0,5.0,9.0,12.0,13.0,13.0,17.0,22.0,26.0,28.0,37.0,41.0,,,,,,,,,,,,,,,,,,,182 days 00:00:00.000000000
14,2000,Aaliyah,Try Again,243,Rock,2000-03-18,2000-06-17,59.0,53.0,38.0,28.0,21.0,18.0,16.0,14.0,12.0,10.0,9.0,8.0,6.0,1.0,2.0,2.0,2.0,2.0,3.0,4.0,5.0,5.0,6.0,9.0,13.0,14.0,16.0,23.0,22.0,33.0,36.0,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91 days 00:00:00.000000000
15,2000,matchbox twenty,Bent,252,Rock,2000-04-29,2000-07-22,60.0,37.0,29.0,24.0,22.0,21.0,18.0,16.0,13.0,12.0,8.0,6.0,1.0,2.0,3.0,2.0,2.0,3.0,4.0,5.0,4.0,4.0,6.0,9.0,12.0,13.0,19.0,20.0,20.0,24.0,29.0,28.0,27.0,30.0,33.0,37.0,38.0,38.0,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,84 days 00:00:00.000000000
16,2000,Mariah Carey,Thank God I Found You,254,Rock,1999-12-11,2000-02-19,82.0,68.0,50.0,50.0,41.0,37.0,26.0,22.0,22.0,2.0,1.0,2.0,4.0,13.0,21.0,28.0,43.0,57.0,82.0,89.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70 days 00:00:00.000000000
17,2000,Faith Hill,Breathe,244,Rap,1999-11-06,2000-04-22,81.0,68.0,62.0,51.0,42.0,35.0,28.0,28.0,28.0,43.0,30.0,23.0,23.0,21.0,21.0,21.0,5.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,4.0,2.0,5.0,8.0,11.0,13.0,14.0,18.0,22.0,23.0,22.0,24.0,30.0,31.0,31.0,38.0,39.0,42.0,49.0,49.0,48.0,47.0,,,,,,,,,,,,,168 days 00:00:00.000000000
18,2000,Mya,Case Of The Ex (Whatcha Gonna Do),230,Rock,2000-08-19,2000-12-02,72.0,57.0,52.0,47.0,42.0,31.0,24.0,18.0,17.0,17.0,17.0,10.0,9.0,9.0,7.0,2.0,2.0,2.0,3.0,4.0,4.0,4.0,4.0,8.0,11.0,15.0,19.0,24.0,23.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105 days 00:00:00.000000000
19,2000,Dream,He Loves U Not,223,Rock,2000-09-30,2000-12-30,99.0,92.0,81.0,59.0,47.0,42.0,32.0,27.0,18.0,18.0,11.0,8.0,5.0,2.0,2.0,3.0,3.0,3.0,7.0,9.0,10.0,11.0,10.0,19.0,23.0,28.0,38.0,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91 days 00:00:00.000000000
20,2000,Toni Braxton,He Wasn't Man Enough,261,Rock,2000-03-18,2000-05-06,63.0,55.0,48.0,39.0,35.0,24.0,3.0,2.0,2.0,4.0,4.0,5.0,11.0,12.0,16.0,15.0,14.0,14.0,12.0,10.0,11.0,13.0,13.0,13.0,15.0,16.0,14.0,13.0,17.0,19.0,23.0,29.0,37.0,33.0,34.0,41.0,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49 days 00:00:00.000000000
21,2000,Marc Anthony,You Sang To Me,230,Latin,2000-02-26,2000-06-03,77.0,54.0,50.0,43.0,30.0,27.0,21.0,18.0,15.0,13.0,13.0,13.0,13.0,5.0,2.0,2.0,5.0,7.0,9.0,12.0,12.0,16.0,20.0,20.0,22.0,25.0,26.0,29.0,35.0,33.0,40.0,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98 days 00:00:00.000000000
22,2000,98¡,Give Me Just One Night (Una Noche),204,Rock,2000-08-19,2000-09-30,51.0,39.0,34.0,26.0,26.0,19.0,2.0,2.0,3.0,6.0,7.0,22.0,29.0,36.0,47.0,67.0,66.0,84.0,93.0,94.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42 days 00:00:00.000000000
23,2000,Destiny's Child,Jumpin' Jumpin',228,Rock,2000-05-13,2000-08-19,74.0,71.0,65.0,62.0,57.0,50.0,40.0,37.0,22.0,18.0,13.0,8.0,6.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,6.0,7.0,6.0,8.0,10.0,15.0,24.0,30.0,35.0,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98 days 00:00:00.000000000
24,2000,3 Doors Down,Kryptonite,233,Rock,2000-04-08,2000-11-11,81.0,70.0,68.0,67.0,66.0,57.0,54.0,53.0,51.0,51.0,51.0,51.0,47.0,44.0,38.0,28.0,22.0,18.0,18.0,14.0,12.0,7.0,6.0,6.0,6.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,5.0,5.0,9.0,9.0,15.0,14.0,13.0,14.0,16.0,17.0,21.0,22.0,24.0,28.0,33.0,42.0,42.0,49.0,,,,,,,,,,,,,217 days 00:00:00.000000000
25,2000,Sisqo,Thong Song,245,Rock,2000-01-29,2000-05-20,74.0,63.0,35.0,26.0,26.0,23.0,20.0,16.0,13.0,10.0,6.0,6.0,5.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,7.0,8.0,13.0,17.0,24.0,31.0,43.0,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112 days 00:00:00.000000000
26,2000,Christina Aguilera,I Turn To You,240,Rock,2000-04-15,2000-07-01,50.0,39.0,30.0,28.0,21.0,19.0,20.0,17.0,17.0,17.0,17.0,3.0,3.0,7.0,10.0,17.0,25.0,29.0,29.0,40.0,43.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77 days 00:00:00.000000000
27,2000,Whitney Houston,My Love Is Your Love,256,Rock,1999-09-04,2000-01-08,81.0,68.0,44.0,16.0,11.0,9.0,8.0,7.0,8.0,7.0,8.0,8.0,6.0,6.0,5.0,5.0,5.0,5.0,4.0,6.0,10.0,10.0,11.0,20.0,22.0,27.0,34.0,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126 days 00:00:00.000000000
28,2000,Joe,I Wanna Know,297,Rock,2000-01-01,2000-07-01,94.0,86.0,69.0,50.0,41.0,33.0,32.0,28.0,28.0,27.0,27.0,25.0,23.0,20.0,17.0,15.0,14.0,11.0,11.0,14.0,11.0,11.0,10.0,12.0,10.0,6.0,4.0,5.0,4.0,5.0,5.0,7.0,6.0,8.0,5.0,6.0,9.0,9.0,8.0,14.0,16.0,20.0,32.0,45.0,,,,,,,,,,,,,,,,,,,,,,182 days 00:00:00.000000000
29,2000,Montell Jordan,Get It On.. Tonite,274,Rap,1999-10-23,2000-02-12,92.0,80.0,72.0,69.0,67.0,61.0,54.0,43.0,38.0,24.0,24.0,20.0,19.0,15.0,15.0,5.0,4.0,4.0,7.0,10.0,5.0,9.0,9.0,7.0,9.0,10.0,10.0,15.0,18.0,23.0,30.0,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112 days 00:00:00.000000000
30,2000,N'Sync,Bye Bye Bye,195,Rock,2000-01-29,2000-04-15,42.0,20.0,19.0,14.0,13.0,7.0,6.0,5.0,5.0,5.0,5.0,4.0,4.0,6.0,6.0,7.0,9.0,12.0,18.0,20.0,27.0,34.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77 days 00:00:00.000000000
31,2000,Eminem,The Real Slim Shady,282,Rap,2000-05-06,2000-06-24,70.0,32.0,20.0,16.0,11.0,7.0,6.0,4.0,5.0,4.0,8.0,9.0,16.0,30.0,49.0,68.0,83.0,88.0,98.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49 days 00:00:00.000000000
32,2000,Pink,Most Girls,246,Rock,2000-08-12,2000-11-25,85.0,70.0,52.0,36.0,27.0,21.0,15.0,13.0,12.0,8.0,5.0,5.0,5.0,6.0,5.0,4.0,6.0,8.0,11.0,14.0,14.0,16.0,18.0,21.0,26.0,39.0,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105 days 00:00:00.000000000
33,2000,Samantha Mumba,Gotta Tell You,199,Rock,2000-09-09,2000-12-09,85.0,72.0,65.0,49.0,39.0,25.0,20.0,10.0,9.0,8.0,6.0,5.0,7.0,4.0,6.0,7.0,13.0,17.0,17.0,23.0,29.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91 days 00:00:00.000000000
34,2000,Blaque,Bring It All To Me,226,Pop,1999-10-23,2000-01-22,73.0,63.0,50.0,42.0,24.0,19.0,17.0,14.0,11.0,9.0,9.0,9.0,10.0,5.0,5.0,6.0,8.0,9.0,15.0,15.0,18.0,17.0,18.0,19.0,19.0,22.0,26.0,32.0,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91 days 00:00:00.000000000
35,2000,"Missy ""Misdemeanor"" Elliott",Hot Boyz,231,Rap,1999-11-27,2000-01-08,36.0,21.0,13.0,9.0,7.0,7.0,5.0,7.0,7.0,7.0,8.0,11.0,7.0,10.0,11.0,12.0,15.0,17.0,23.0,30.0,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42 days 00:00:00.000000000
36,2000,Macy Gray,I Try,232,Rock,2000-02-19,2000-05-20,68.0,51.0,47.0,36.0,30.0,20.0,15.0,12.0,8.0,7.0,7.0,7.0,6.0,5.0,6.0,9.0,10.0,11.0,14.0,16.0,16.0,16.0,21.0,27.0,34.0,40.0,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91 days 00:00:00.000000000
37,2000,N'Sync,This I Promise You,263,Rock,2000-09-30,2000-12-02,68.0,31.0,19.0,15.0,11.0,6.0,7.0,7.0,6.0,5.0,6.0,7.0,10.0,12.0,11.0,9.0,11.0,12.0,20.0,22.0,26.0,30.0,30.0,39.0,41.0,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63 days 00:00:00.000000000
38,2000,Ruff Endz,No More,236,Rock,2000-07-01,2000-09-02,76.0,38.0,19.0,17.0,12.0,15.0,12.0,10.0,7.0,5.0,8.0,8.0,10.0,12.0,14.0,15.0,19.0,23.0,21.0,18.0,19.0,22.0,23.0,24.0,33.0,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63 days 00:00:00.000000000
39,2000,The Backstreet Boys,Show Me The Meaning Of Being Lonely,234,Rock,2000-01-01,2000-03-18,74.0,62.0,55.0,25.0,16.0,14.0,12.0,10.0,12.0,9.0,7.0,6.0,6.0,6.0,8.0,9.0,13.0,19.0,23.0,26.0,32.0,34.0,45.0,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77 days 00:00:00.000000000
40,2000,Nine Days,Absolutely (Story Of A Girl),189,Rock,2000-05-06,2000-07-22,85.0,71.0,59.0,52.0,39.0,34.0,26.0,20.0,17.0,13.0,11.0,6.0,6.0,8.0,8.0,7.0,8.0,9.0,11.0,12.0,14.0,18.0,26.0,30.0,36.0,41.0,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77 days 00:00:00.000000000
41,2000,Celine Dion,That's The Way It Is,243,Rock,1999-11-13,2000-03-04,74.0,68.0,65.0,49.0,44.0,34.0,30.0,30.0,17.0,14.0,11.0,8.0,9.0,10.0,11.0,11.0,6.0,8.0,7.0,7.0,9.0,10.0,14.0,16.0,26.0,31.0,35.0,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112 days 00:00:00.000000000
42,2000,Blink-182,All The Small Things,172,Rock,1999-12-04,2000-02-19,89.0,76.0,69.0,59.0,59.0,51.0,50.0,35.0,26.0,15.0,7.0,6.0,8.0,8.0,9.0,11.0,14.0,16.0,18.0,23.0,33.0,41.0,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77 days 00:00:00.000000000
43,2000,Eiffel 65,Blue (Da Ba Dee),209,Electronica,1999-12-11,2000-01-29,67.0,29.0,16.0,16.0,13.0,11.0,9.0,6.0,7.0,9.0,13.0,19.0,21.0,24.0,32.0,42.0,56.0,60.0,76.0,88.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49 days 00:00:00.000000000
44,2000,Erkyah Badu,Bag Lady,303,Rock,2000-08-19,2000-10-07,67.0,53.0,42.0,41.0,48.0,42.0,34.0,6.0,9.0,9.0,8.0,11.0,15.0,21.0,26.0,29.0,26.0,38.0,56.0,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49 days 00:00:00.000000000
45,2000,Pink,There U Go,203,Rock,2000-03-04,2000-04-08,25.0,15.0,12.0,11.0,11.0,7.0,7.0,12.0,14.0,15.0,15.0,17.0,19.0,16.0,15.0,14.0,12.0,10.0,10.0,10.0,8.0,9.0,12.0,16.0,20.0,22.0,33.0,39.0,39.0,41.0,46.0,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35 days 00:00:00.000000000
46,2000,Creed,Higher,316,Rock,1999-09-11,2000-07-22,81.0,77.0,73.0,63.0,61.0,58.0,56.0,52.0,56.0,57.0,57.0,57.0,57.0,57.0,60.0,61.0,61.0,57.0,60.0,61.0,,,,,,,,,43.0,41.0,34.0,28.0,25.0,23.0,22.0,16.0,16.0,18.0,14.0,13.0,13.0,11.0,11.0,9.0,9.0,7.0,7.0,9.0,9.0,12.0,14.0,16.0,17.0,17.0,21.0,26.0,29.0,32.0,39.0,39.0,43.0,47.0,50.0,50.0,49.0,315 days 00:00:00.000000000
47,2000,Nelly,(Hot S**t) Country Grammar,257,Rap,2000-04-29,2000-09-16,100.0,99.0,96.0,76.0,55.0,37.0,24.0,24.0,30.0,36.0,37.0,30.0,23.0,21.0,17.0,17.0,15.0,11.0,11.0,10.0,7.0,7.0,8.0,10.0,11.0,12.0,12.0,17.0,19.0,23.0,33.0,37.0,36.0,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140 days 00:00:00.000000000
48,2000,Next,Wifey,243,Rock,2000-05-27,2000-09-09,85.0,61.0,46.0,40.0,36.0,31.0,25.0,22.0,25.0,24.0,21.0,20.0,19.0,19.0,8.0,7.0,10.0,12.0,21.0,25.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105 days 00:00:00.000000000
49,2000,Kenny G,Auld Lang Syne (The Millenium Mix),470,Jazz,1999-12-25,2000-01-08,89.0,89.0,7.0,8.0,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14 days 00:00:00.000000000
